selection_name,layer,k,alpha,control_type,intervention,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
layerwise_ci_top_delta_steer,22,200,1.5,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8203947368421053,-0.05526315789473684,-0.0625,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,26,1,1.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8213815789473684,-0.05625,-0.0625,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,27,1,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.821875,-0.05674342105263158,-0.0625,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,23,200,1.5,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8266447368421053,-0.06151315789473684,-0.0625,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,27,100,3.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8266447368421053,-0.06151315789473684,-0.0625,0,0.0,0,0.0,1.0,1,100
global_multilayer_ci_top_delta_steer,multi,500,1.5,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8282894736842106,-0.06315789473684211,-0.0625,0,0.0,0,0.0,1.0,5,500
layerwise_ci_top_delta_steer,27,200,1.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8292763157894737,-0.06414473684210527,-0.0625,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,20,1,1.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8296052631578947,-0.06447368421052632,-0.0625,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,20,500,2.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8299342105263158,-0.06480263157894736,-0.0625,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top_delta_steer,27,1,1.5,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8302631578947368,-0.06513157894736842,-0.0625,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,23,100,1.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8315789473684211,-0.06644736842105263,-0.0625,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,26,200,3.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8332236842105263,-0.0680921052631579,-0.0625,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,22,200,2.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8355263157894737,-0.07039473684210526,-0.0625,0,0.0,0,0.0,1.0,1,200
