scenario_id,version,site,layer,cosine_base_ci,base_norm,ci_norm,norm_ratio_ci_over_base
103070,B,recipient_last,20,0.9997581243515015,116.82144165039062,116.14175415039062,0.9941818257813143
103070,B,recipient_last,21,0.9997279644012451,142.14476013183594,141.33883666992188,0.9943302626057648
103070,B,recipient_last,22,0.9996362924575806,158.1514129638672,157.34658813476562,0.9949110487600548
103070,B,recipient_last,23,0.9995747804641724,193.21534729003906,192.02430725097656,0.9938356861617488
103070,B,recipient_last,24,0.9994613528251648,242.899169921875,241.28506469726562,0.9933548343325812
103070,B,recipient_last,25,0.999301016330719,287.2592468261719,285.7022705078125,0.9945798913853536
103070,B,recipient_last,26,0.9988306164741516,369.2703552246094,367.5559997558594,0.9953574516760024
103070,B,recipient_last,27,0.9975851774215698,279.1551208496094,279.8731384277344,1.0025721096426234
103070,B,purpose_last,0,0.9999968409538269,13.747476577758789,13.744501113891602,0.9997835629069555
103070,B,purpose_last,1,0.999994158744812,25.710886001586914,25.689809799194336,0.9991802615284717
103070,B,purpose_last,2,0.9999897480010986,30.3891658782959,30.361238479614258,0.9990810080542031
103070,B,purpose_last,3,0.999987781047821,40.80402755737305,40.78982925415039,0.9996520367210641
103070,B,purpose_last,4,0.999984085559845,44.03398895263672,44.0179443359375,0.9996356310867844
103070,B,purpose_last,5,0.9999808669090271,45.412471771240234,45.393707275390625,0.9995867986234237
103070,B,purpose_last,6,0.9999687671661377,50.902259826660156,50.88712692260742,0.9997027066361245
103070,B,purpose_last,7,0.9999674558639526,56.35050582885742,56.42680740356445,1.001354053057461
103070,B,purpose_last,8,0.9999613761901855,61.33304214477539,61.38595962524414,1.0008627891038544
103070,B,purpose_last,9,0.9999496936798096,61.092872619628906,61.058956146240234,0.9994448374755621
103070,B,purpose_last,10,0.9999290704727173,61.81563949584961,61.81611633300781,1.0000077138595038
103070,B,purpose_last,11,0.999923586845398,62.670806884765625,62.677032470703125,1.000099337893462
103070,B,purpose_last,12,0.9999069571495056,60.287086486816406,60.348114013671875,1.0010122819066536
103070,B,purpose_last,13,0.9998950958251953,68.96269989013672,68.98657989501953,1.0003462742166542
103070,B,purpose_last,14,0.9998782873153687,70.26061248779297,70.20990753173828,0.9992783302869229
103070,B,purpose_last,15,0.9998747706413269,82.58959197998047,82.3526382446289,0.997130949195039
103070,B,purpose_last,16,0.9998639225959778,84.74623107910156,84.6631851196289,0.9990200630940727
103070,B,purpose_last,17,0.9998458623886108,89.08544921875,88.89981842041016,0.9979162612978015
103070,B,purpose_last,18,0.9998643398284912,103.77827453613281,103.4948501586914,0.9972689430547168
103070,B,purpose_last,19,0.9997850656509399,111.08736419677734,110.54012298583984,0.9950737762580438
103070,B,purpose_last,20,0.9997600317001343,125.75172424316406,124.97040557861328,0.9937868154949513
103070,B,purpose_last,21,0.9997522234916687,153.87400817871094,152.7401123046875,0.9926310109976045
103070,B,purpose_last,22,0.999701976776123,168.8016357421875,167.50543212890625,0.9923211430530154
103070,B,purpose_last,23,0.9996567964553833,207.87322998046875,205.90042114257812,0.9905095579739825
103070,B,purpose_last,24,0.999584436416626,262.84564208984375,260.3721008300781,0.9905893769434453
103070,B,purpose_last,25,0.9994646310806274,309.85223388671875,307.5679626464844,0.9926278690600969
103070,B,purpose_last,26,0.9989404678344727,415.6969909667969,412.4974060058594,0.9923030836631842
103070,B,purpose_last,27,0.9975827932357788,266.5671081542969,267.0529479980469,1.0018225798640872
103070,B,final,0,0.9999868273735046,10.381550788879395,10.380136489868164,0.9998637680400557
103070,B,final,1,0.9988026022911072,15.152055740356445,15.25259780883789,1.0066355397712574
103070,B,final,2,0.9989256262779236,17.967987060546875,17.9051513671875,0.9965029085813766
103070,B,final,3,0.9984501600265503,18.837444305419922,18.8326358795166,0.9997447410686207
103070,B,final,4,0.9979133009910583,22.318506240844727,22.36342430114746,1.00201259259101
103070,B,final,5,0.9982184767723083,31.558849334716797,31.86669921875,1.0097547879762063
103070,B,final,6,0.9982710480690002,31.88652992248535,31.978940963745117,1.0028981216044648
103070,B,final,7,0.9979522228240967,33.22771453857422,33.32801055908203,1.0030184447501311
103070,B,final,8,0.9972637891769409,34.157867431640625,34.211944580078125,1.0015831535310489
103070,B,final,9,0.995728611946106,38.960044860839844,38.73041915893555,0.9941061232674528
103070,B,final,10,0.9944722652435303,42.58236312866211,43.007572174072266,1.009985567126122
103070,B,final,11,0.9935480356216431,44.03953170776367,45.01183319091797,1.0220779251152412
103070,B,final,12,0.9942710399627686,47.94585037231445,47.75153350830078,0.9959471599209371
103070,B,final,13,0.994442880153656,56.24314880371094,56.00513458251953,0.9957681206288418
103070,B,final,14,0.995983362197876,71.21988677978516,71.3959732055664,1.0024724333854351
103070,B,final,15,0.9958895444869995,69.31944274902344,69.47896575927734,1.0023012736964934
103070,B,final,16,0.9961272478103638,71.16130065917969,71.12152099609375,0.9994409930296742
103070,B,final,17,0.9968243837356567,77.21785736083984,77.1292953491211,0.9988530889777879
103070,B,final,18,0.9967398047447205,84.7969741821289,85.384521484375,1.0069288710819344
103070,B,final,19,0.9970790147781372,100.49302673339844,101.03041076660156,1.0053474758465457
103070,B,final,20,0.9973719120025635,122.34429931640625,122.53028869628906,1.0015202128821858
103070,B,final,21,0.9979655742645264,141.5260009765625,141.46986389160156,0.9996033443708323
103070,B,final,22,0.9981967210769653,168.7179412841797,169.50790405273438,1.0046821503542656
103070,B,final,23,0.998684823513031,213.00765991210938,213.5080108642578,1.0023489810289212
103070,B,final,24,0.9990985989570618,271.7171936035156,272.69683837890625,1.0036053838272012
103070,B,final,25,0.999276876449585,349.44085693359375,350.91290283203125,1.0042125752304838
103070,B,final,26,0.9993834495544434,438.3296813964844,438.5047607421875,1.0003994238883056
103070,B,final,27,0.9987223148345947,306.0054626464844,304.1430358886719,0.9939137466968553
103070,C,recipient_last,0,0.9999966621398926,13.992749214172363,13.987310409545898,0.9996113126489142
103070,C,recipient_last,1,0.9999925494194031,22.362043380737305,22.36030387878418,0.9999222118514168
103070,C,recipient_last,2,0.9999825358390808,25.285863876342773,25.2866268157959,1.0000301725682323
103070,C,recipient_last,3,0.9999759197235107,32.01128005981445,32.054012298583984,1.001334911902607
103070,C,recipient_last,4,0.9999723434448242,36.137718200683594,36.19306945800781,1.0015316754925376
103070,C,recipient_last,5,0.9999667406082153,36.5390625,36.58071517944336,1.0011399493198097
103070,C,recipient_last,6,0.9999557733535767,42.58234405517578,42.63969802856445,1.0013468956362372
103070,C,recipient_last,7,0.9999537467956543,48.415096282958984,48.46977233886719,1.0011293183346917
103070,C,recipient_last,8,0.9999452829360962,56.56083297729492,56.557682037353516,0.9999442911326524
103070,C,recipient_last,9,0.9999302625656128,57.2599983215332,57.2520866394043,0.9998618288096259
103070,C,recipient_last,10,0.9999001026153564,58.15914535522461,58.193016052246094,1.0005823795520827
103070,C,recipient_last,11,0.9998740553855896,61.603729248046875,61.577518463134766,0.9995745260030189
103070,C,recipient_last,12,0.9998406767845154,63.91001892089844,64.07359313964844,1.0025594456317164
103070,C,recipient_last,13,0.999839723110199,72.997802734375,72.98955535888672,0.9998870188529059
103070,C,recipient_last,14,0.9998283386230469,73.49132537841797,73.4820556640625,0.9998738665508108
103070,C,recipient_last,15,0.9998463988304138,83.65410614013672,83.66213989257812,1.000096035362902
103070,C,recipient_last,16,0.999826192855835,82.50025939941406,82.27055358886719,0.9972156958993936
103070,C,recipient_last,17,0.9998155832290649,88.39148712158203,87.9636459350586,0.9951597014547912
103070,C,recipient_last,18,0.999835729598999,101.67952728271484,101.36966705322266,0.9969525799561337
103070,C,recipient_last,19,0.9997555613517761,108.99877166748047,108.5631332397461,0.9960032721372002
103070,C,recipient_last,20,0.9997079968452454,115.7129135131836,115.0838623046875,0.9945636905216769
103070,C,recipient_last,21,0.999671459197998,138.77664184570312,137.94924926757812,0.9940379550396894
103070,C,recipient_last,22,0.9995777606964111,158.8570098876953,157.8556671142578,0.9936965779845321
103070,C,recipient_last,23,0.9995071291923523,195.69061279296875,194.1711883544922,0.9922355783101152
103070,C,recipient_last,24,0.9994109272956848,245.11671447753906,242.9650115966797,0.991221721107654
103070,C,recipient_last,25,0.9992426633834839,287.6619873046875,285.71826171875,0.9932430224648392
103070,C,recipient_last,26,0.9984393119812012,361.1530456542969,358.01190185546875,0.9913024579561904
103070,C,recipient_last,27,0.9971481561660767,280.1590270996094,281.9596252441406,1.0064270573865572
103070,C,purpose_last,0,0.9999969005584717,13.113032341003418,13.107308387756348,0.9995634912582979
103070,C,purpose_last,1,0.9999914169311523,18.406505584716797,18.409141540527344,1.0001432078347743
103070,C,purpose_last,2,0.9999872446060181,26.898841857910156,26.877553939819336,0.999208593507361
103070,C,purpose_last,3,0.9999836087226868,33.246910095214844,33.25754928588867,1.0003200053972943
103070,C,purpose_last,4,0.9999799728393555,36.57843017578125,36.585662841796875,1.0001977303558647
103070,C,purpose_last,5,0.9999780654907227,39.32452392578125,39.32281494140625,0.9999565415113931
