layer,k,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
27,1,random_neurons_1,95,-0.6588815789473684,-0.6634868421052632,-0.004605263157894736,0,0.0
27,1,random_neurons_2,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,1,0.010526315789473684
27,1,top_writer_neurons,95,-0.6588815789473684,-0.6819078947368421,-0.023026315789473683,0,0.0
27,5,random_neurons_0,95,-0.6588815789473684,-0.6398026315789473,0.019078947368421053,2,0.021052631578947368
27,5,random_neurons_1,95,-0.6588815789473684,-0.6618421052631579,-0.0029605263157894738,0,0.0
27,5,random_neurons_2,95,-0.6588815789473684,-0.6542763157894737,0.004605263157894736,1,0.010526315789473684
27,5,top_writer_neurons,95,-0.6588815789473684,-0.5924342105263158,0.06644736842105263,6,0.06315789473684211
27,10,random_neurons_0,95,-0.6588815789473684,-0.6447368421052632,0.014144736842105264,1,0.010526315789473684
27,10,random_neurons_1,95,-0.6588815789473684,-0.6779605263157895,-0.019078947368421053,0,0.0
27,10,random_neurons_2,95,-0.6588815789473684,-0.6430921052631579,0.015789473684210527,1,0.010526315789473684
27,10,top_writer_neurons,95,-0.6588815789473684,-0.6305921052631579,0.028289473684210528,5,0.05263157894736842
27,20,random_neurons_0,95,-0.6588815789473684,-0.6526315789473685,0.00625,1,0.010526315789473684
27,20,random_neurons_1,95,-0.6588815789473684,-0.6648026315789474,-0.0059210526315789476,1,0.010526315789473684
27,20,random_neurons_2,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,1,0.010526315789473684
27,20,top_writer_neurons,95,-0.6588815789473684,-0.3894736842105263,0.2694078947368421,24,0.25263157894736843
27,50,random_neurons_0,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,1,0.010526315789473684
27,50,random_neurons_1,95,-0.6588815789473684,-0.6213815789473685,0.0375,3,0.031578947368421054
27,50,random_neurons_2,95,-0.6588815789473684,-0.7128289473684211,-0.05394736842105263,0,0.0
27,50,top_writer_neurons,95,-0.6588815789473684,0.04703947368421053,0.7059210526315789,61,0.6421052631578947
27,100,random_neurons_0,95,-0.6588815789473684,-0.6582236842105263,0.0006578947368421052,1,0.010526315789473684
27,100,random_neurons_1,95,-0.6588815789473684,-0.6371710526315789,0.021710526315789475,2,0.021052631578947368
27,100,random_neurons_2,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,1,0.010526315789473684
27,100,top_writer_neurons,95,-0.6588815789473684,0.26776315789473687,0.9266447368421052,74,0.7789473684210526
27,200,random_neurons_0,95,-0.6588815789473684,-0.47730263157894737,0.18157894736842106,11,0.11578947368421053
27,200,random_neurons_1,95,-0.6588815789473684,-0.5815789473684211,0.07730263157894737,7,0.07368421052631578
27,200,random_neurons_2,95,-0.6588815789473684,-0.4845394736842105,0.17434210526315788,12,0.12631578947368421
27,200,top_writer_neurons,95,-0.6588815789473684,0.2756578947368421,0.9345394736842105,74,0.7789473684210526
