version,site,layer,n,mean_cosine,median_cosine,std_cosine,mean_base_norm,mean_ci_norm,mean_norm_ratio
B,recipient_last,27,304,0.9977790001583727,0.9978997111320496,0.0008346936218305048,287.4235186325876,287.66749944184954,1.0008649071088678
C,final,0,304,0.9999864570012218,0.9999864101409912,4.2045326170066375e-07,10.372262132795234,10.369802707119993,0.9997628256375442
C,final,1,304,0.9987532686638204,0.9987561106681824,4.015377571782596e-05,15.104456415301875,15.206803334386725,1.0067748002562393
C,final,2,304,0.9988660314365437,0.998869389295578,3.7578829664705676e-05,17.90541677098525,17.844334696468554,0.996588033413385
C,final,3,304,0.9983307311409398,0.9983389973640442,7.488578801243238e-05,18.823447842346994,18.817238312018546,0.9996705060464285
C,final,4,304,0.9978226617370781,0.9978346824645996,9.686200514424723e-05,22.30700563757043,22.373581447099383,1.002985683057881
C,final,5,304,0.9981303964006273,0.9981449544429779,7.07807631781139e-05,31.60203849014483,31.971201608055516,1.0116786208516666
C,final,6,304,0.9981564544141293,0.9981742799282074,8.138259021259008e-05,31.89873599378686,32.0200603761171,1.0038023563802334
C,final,7,304,0.9978185674469722,0.9978269636631012,7.3670581649604e-05,33.14663268390455,33.26945485566792,1.0037037889579197
C,final,8,304,0.9971342029932299,0.9971272647380829,0.00010650389879177356,34.00609710342005,34.07529179673446,1.0020341803824748
C,final,9,304,0.9955782233492324,0.9956009984016418,0.00020179760166763364,38.71306391766197,38.50158120456495,0.9945354870755195
C,final,10,304,0.9942993553061235,0.9943346977233887,0.0003481935035400544,42.28605030712328,42.68493938446045,1.0094296359404038
C,final,11,304,0.9934254818056759,0.9934697151184082,0.00043939304916121123,43.87717050000241,44.83851523148386,1.0219051929565566
C,final,12,304,0.9942672685965112,0.9943113029003143,0.00039301056829890176,47.98030309928091,47.8356947145964,0.9969847984689759
C,final,13,304,0.994452955691438,0.9945011734962463,0.0004058315330030963,56.051785142798174,55.78123752694381,0.9951762158427252
C,final,14,304,0.9959991556641302,0.9960493445396423,0.0002881320400395979,70.92147716722991,71.07333752983494,1.0021404916864731
C,final,15,304,0.995910285334838,0.9959627985954285,0.00027768719591499835,68.80623323039005,68.97088735981991,1.0023922335681827
C,final,16,304,0.9961564397733462,0.9962062537670135,0.0002579186172210473,70.85098994405647,70.84571996488069,0.9999258481224217
C,final,17,304,0.996844503440355,0.9968772530555725,0.00021948379994761322,77.40797908682572,77.30290194561607,0.9986444106144504
C,final,18,304,0.9961860554390832,0.9962918162345886,0.0005647780450036599,85.13326780419601,85.54934812846936,1.004890856638068
C,final,19,304,0.9961914259352183,0.9962988197803497,0.0006678918291291929,99.5098180519907,100.08643915778713,1.0058026774669397
C,final,20,304,0.9961660131812096,0.9963349103927612,0.0008560554059080231,121.95959274392379,122.34671725724873,1.0031853863570137
C,final,21,304,0.9967268232844377,0.9969362616539001,0.0009256166880053094,142.56459888659026,142.81958730597245,1.0017888680750062
C,final,22,304,0.996698713616321,0.9970011711120605,0.001173683376876743,169.8733760432193,170.47804360640677,1.003570918971706
C,final,23,304,0.9970396694384123,0.997419148683548,0.0013490855111161382,209.309636919122,209.66074396434584,1.0016763313274097
C,final,24,304,0.9977581583355603,0.9980423450469971,0.0010530388937258148,264.5848470989026,265.7138271331787,1.004277812783362
C,final,25,304,0.9982149799011255,0.9984164237976074,0.0008262054504461672,340.1641128941586,342.0680577127557,1.005621011279134
